FEE      ALTRO   Channel Strip   
25       51       14       2104    
25       51       15       2103    
26       52       0        3144    
26       52       1        3143    
26       52       2        3146    
26       52       3        3145    
26       52       4        3148    
26       52       5        3147    
26       52       6        3150    
26       52       7        3149    
26       52       8        3157    
26       52       9        3158    
26       52       10       3155    
26       52       11       3156    
26       52       12       3153    
26       52       13       3154    
26       52       14       3151    
26       52       15       3152    
26       53       0        3127    
26       53       1        3128    
26       53       2        3129    
26       53       3        3130    
26       53       4        3131    
26       53       5        3132    
26       53       6        3133    
26       53       7        3134    
26       53       8        3142    
26       53       9        3141    
26       53       10       3140    
26       53       11       3139    
26       53       12       3138    
26       53       13       3137    
26       53       14       3136    
26       53       15       3135    
27       54       0        2176    
27       54       1        2175    
27       54       2        2178    
27       54       3        2177    
27       54       4        2180    
27       54       5        2179    
27       54       6        2182    
27       54       7        2181    
27       54       8        2189    
27       54       9        2190    
27       54       10       2187    
27       54       11       2188    
27       54       12       2185    
27       54       13       2186    
27       54       14       2183    
27       54       15       2184    
27       55       0        2159    
27       55       1        2160    
27       55       2        2161    
27       55       3        2162    
27       55       4        2163    
27       55       5        2164    
27       55       6        2165    
27       55       7        2166    
27       55       8        2174    
27       55       9        2173    
27       55       10       2172    
27       55       11       2171    
27       55       12       2170    
27       55       13       2169    
27       55       14       2168    
27       55       15       2167    
28       56       0        3112    
28       56       1        3111    
28       56       2        3114    
28       56       3        3113    
28       56       4        3116    
28       56       5        3115    
28       56       6        3118    
28       56       7        3117    
28       56       8        3125    
28       56       9        3126    
28       56       10       3123    
28       56       11       3124    
28       56       12       3121    
28       56       13       3122    
28       56       14       3119    
28       56       15       3120    
28       57       0        3095    
28       57       1        3096    
28       57       2        3097    
28       57       3        3098    
28       57       4        3099    
28       57       5        3100    
28       57       6        3101    
28       57       7        3102    
28       57       8        3110    
28       57       9        3109    
28       57       10       3108    
28       57       11       3107    
28       57       12       3106    
28       57       13       3105    
28       57       14       3104    
28       57       15       3103    
29       58       0        2144    
29       58       1        2143    
29       58       2        2146    
29       58       3        2145    
29       58       4        2148    
29       58       5        2147    
29       58       6        2150    
29       58       7        2149    
29       58       8        2157    
29       58       9        2158    
29       58       10       2155    
29       58       11       2156    
29       58       12       2153    
29       58       13       2154    
29       58       14       2151    
29       58       15       2152    
29       59       0        2127    
29       59       1        2128    
29       59       2        2129    
29       59       3        2130    
29       59       4        2131    
29       59       5        2132    
29       59       6        2133    
29       59       7        2134    
29       59       8        2142    
29       59       9        2141    
29       59       10       2140    
29       59       11       2139    
29       59       12       2138    
29       59       13       2137    
29       59       14       2136    
29       59       15       2135    
30       60       0        3176    
30       60       1        3175    
30       60       2        3178    
30       60       3        3177    
30       60       4        3180    
30       60       5        3179    
30       60       6        3182    
30       60       7        3181    
30       60       8        3189    
30       60       9        3190    
30       60       10       3187    
30       60       11       3188    
30       60       12       3185    
30       60       13       3186    
30       60       14       3183    
30       60       15       3184    
30       61       0        3159    
30       61       1        3160    
30       61       2        3161    
30       61       3        3162    
30       61       4        3163    
30       61       5        3164    
30       61       6        3165    
30       61       7        3166    
30       61       8        3174    
30       61       9        3173    
30       61       10       3172    
30       61       11       3171    
30       61       12       3170    
30       61       13       3169    
30       61       14       3168    
30       61       15       3167    
